name,dropTime,dir
Bloom.mp3,51.6,
Cities.mp3,59.0,
For Me.mp3,60.0,
Japan.mp3,63.0,
Martin Garrix & Bebe Rexha - In The Name Of Love (Official Audio).mp3,50.0,
Slushii - All I Need [Rocket League Intro Song].mp3,62.0,
Throttle - Dreamer [Monstercat Release].mp3,61.0,
Where U Are.mp3,44.0,
KOVEN - Gold.mp3,182,D:\Documents\python projects\RLTikTok_EditVideo\editVideo\music\KOVEN - Gold.mp3
Pixel Terror - Amnesia [Monstercat Release].mp3,60,D:\Documents\python projects\RLTikTok_EditVideo\editVideo\music\Pixel Terror - Amnesia [Monstercat Release].mp3
Slippy - Flow [Monstercat Release].mp3,51,D:\Documents\python projects\RLTikTok_EditVideo\editVideo\music\Slippy - Flow [Monstercat Release].mp3
